environment	run	adapter	bundle_sha256	entry_sha256	size	header_source	metafile_closure_count	metafile_matches_generated_without_header
bun-1.3.12-release-workflow	bun-1.3.12-release-workflow-run1	opencode	b82a7f07014360fe542f075bc7315b62c26d1129be6316d3c672b83455f9aa82	31e81e932d71397b7c4177d9650c2640a31478607508b9450f087ebc9f242c59	305394	// source-sha256:31e81e932d71397b7c4177d9650c2640a31478607508b9450f087ebc9f242c59	155	True
bun-1.3.12-release-workflow	bun-1.3.12-release-workflow-run1	pi	b64918dcc24ecec0c8c119da6ef9939c66dad7a9f71aa58910200ac0450ddb96	0285e8cca53df1f11cc90a255bafd6396001b91bb9426469e849c761143f7d26	291347	// source-sha256:0285e8cca53df1f11cc90a255bafd6396001b91bb9426469e849c761143f7d26	154	True
bun-1.3.12-release-workflow	bun-1.3.12-release-workflow-run1	codex	66361f5f653ab4ea944e9c9f8b8428e2131a825eda913c3b5ae563e867498863	73564e5b267a42e3282eed3a9289707e7eb9f2509302b7f9782bb0b973a88534	3378	// source-sha256:73564e5b267a42e3282eed3a9289707e7eb9f2509302b7f9782bb0b973a88534	1	True
bun-1.3.12-release-workflow	bun-1.3.12-release-workflow-run2	opencode	b82a7f07014360fe542f075bc7315b62c26d1129be6316d3c672b83455f9aa82	31e81e932d71397b7c4177d9650c2640a31478607508b9450f087ebc9f242c59	305394	// source-sha256:31e81e932d71397b7c4177d9650c2640a31478607508b9450f087ebc9f242c59	155	True
bun-1.3.12-release-workflow	bun-1.3.12-release-workflow-run2	pi	b64918dcc24ecec0c8c119da6ef9939c66dad7a9f71aa58910200ac0450ddb96	0285e8cca53df1f11cc90a255bafd6396001b91bb9426469e849c761143f7d26	291347	// source-sha256:0285e8cca53df1f11cc90a255bafd6396001b91bb9426469e849c761143f7d26	154	True
bun-1.3.12-release-workflow	bun-1.3.12-release-workflow-run2	codex	66361f5f653ab4ea944e9c9f8b8428e2131a825eda913c3b5ae563e867498863	73564e5b267a42e3282eed3a9289707e7eb9f2509302b7f9782bb0b973a88534	3378	// source-sha256:73564e5b267a42e3282eed3a9289707e7eb9f2509302b7f9782bb0b973a88534	1	True
bun-1.4.0-local	bun-1.4.0-local-run1	opencode	f1a1f06b15ad0b643c4b701117544be3d37df36b6d8620412bfd59e76b9510bf	31e81e932d71397b7c4177d9650c2640a31478607508b9450f087ebc9f242c59	305796	// source-sha256:31e81e932d71397b7c4177d9650c2640a31478607508b9450f087ebc9f242c59	155	True
bun-1.4.0-local	bun-1.4.0-local-run1	pi	5edde47a3a38b4f7a965885b0f145308df0612a5523a9f1b3dae82d30a5f6b32	0285e8cca53df1f11cc90a255bafd6396001b91bb9426469e849c761143f7d26	291746	// source-sha256:0285e8cca53df1f11cc90a255bafd6396001b91bb9426469e849c761143f7d26	154	True
bun-1.4.0-local	bun-1.4.0-local-run1	codex	66361f5f653ab4ea944e9c9f8b8428e2131a825eda913c3b5ae563e867498863	73564e5b267a42e3282eed3a9289707e7eb9f2509302b7f9782bb0b973a88534	3378	// source-sha256:73564e5b267a42e3282eed3a9289707e7eb9f2509302b7f9782bb0b973a88534	1	True
bun-1.4.0-local	bun-1.4.0-local-run2	opencode	f1a1f06b15ad0b643c4b701117544be3d37df36b6d8620412bfd59e76b9510bf	31e81e932d71397b7c4177d9650c2640a31478607508b9450f087ebc9f242c59	305796	// source-sha256:31e81e932d71397b7c4177d9650c2640a31478607508b9450f087ebc9f242c59	155	True
bun-1.4.0-local	bun-1.4.0-local-run2	pi	5edde47a3a38b4f7a965885b0f145308df0612a5523a9f1b3dae82d30a5f6b32	0285e8cca53df1f11cc90a255bafd6396001b91bb9426469e849c761143f7d26	291746	// source-sha256:0285e8cca53df1f11cc90a255bafd6396001b91bb9426469e849c761143f7d26	154	True
bun-1.4.0-local	bun-1.4.0-local-run2	codex	66361f5f653ab4ea944e9c9f8b8428e2131a825eda913c3b5ae563e867498863	73564e5b267a42e3282eed3a9289707e7eb9f2509302b7f9782bb0b973a88534	3378	// source-sha256:73564e5b267a42e3282eed3a9289707e7eb9f2509302b7f9782bb0b973a88534	1	True
